Equipo1;Equipo2;Resultado
FRA;MNE;0
DEN;SLO;0
SLO;FRA;2
MNE;DEN;2
MNE;SLO;0
FRA;DEN;0
RUS;ESP;0
SWE;CZE;0
CZE;RUS;2
ESP;SWE;1
ESP;CZE;0
RUS;SWE;0
HUN;CRO;2
NED;SRB ;2
SRB ;HUN;2
CRO;NED;0
SRB ;CRO;2
NED;HUN;0
ROU;GER;2
NOR;POL;0
POL;ROU;2
GER;NOR;2
GER;POL;1
ROU;NOR;2
